#depth variance  VR       nsta
  8  5.265e-09  4.278e+01   5
#mxx        mxy        mxz        myy        myz        mzz
 3.864e+21 -6.789e+21 -1.726e+21 -1.939e+21  1.812e+21 -1.925e+21
#st1 rk1 dp1 st2 rk2 dp2
192 165  86 282   4  76
#pdc pclvd piso
 46  54   0

#filename
BRLDA.data
#dt   npts  dist   Az   Zcor VR
1.000  120  46.0 212.0    5  4.443e+01
#data T          R          Z    synth T          R          Z
 4.419e-05 -2.831e-05  2.013e-05  2.714e-06  1.692e-06  3.532e-08
 5.079e-05 -1.922e-06 -4.063e-06  2.809e-06  1.784e-06 -4.000e-07
 4.437e-05  1.695e-05 -2.756e-05  2.692e-06  1.745e-06 -7.627e-07
 2.111e-05  1.250e-05 -2.785e-05  2.423e-06  1.578e-06 -1.021e-06
 8.580e-07 -5.976e-06 -1.598e-05  2.043e-06  1.301e-06 -1.160e-06
-5.450e-06 -1.282e-05  1.420e-06  1.578e-06  9.530e-07 -1.178e-06
 4.030e-06 -8.081e-06  1.115e-05  1.036e-06  5.813e-07 -1.091e-06
 4.464e-07  1.381e-05  1.079e-05  4.442e-07  2.278e-07 -9.356e-07
-9.527e-06  2.974e-05  5.408e-06 -1.445e-07 -7.295e-08 -7.520e-07
-1.901e-05  2.628e-05 -4.569e-06 -6.669e-07 -2.940e-07 -5.737e-07
-1.606e-05 -3.239e-07 -8.348e-06 -1.074e-06 -4.226e-07 -4.185e-07
-1.840e-05 -1.818e-05 -1.809e-06 -1.337e-06 -4.645e-07 -2.916e-07
-1.685e-05 -1.342e-05 -4.211e-07 -1.450e-06 -4.350e-07 -1.932e-07
-2.263e-05 -1.620e-07 -4.247e-06 -1.425e-06 -3.502e-07 -1.191e-07
-3.959e-05  6.771e-06 -1.155e-05 -1.287e-06 -2.308e-07 -6.063e-08
-4.435e-05 -1.586e-06 -1.516e-05 -1.058e-06 -1.049e-07 -1.074e-08
-2.358e-05 -1.871e-05 -1.496e-05 -7.650e-07 -9.714e-10  3.150e-08
 1.136e-06 -2.844e-05 -9.358e-06 -4.526e-07  6.411e-08  6.463e-08
 5.214e-06 -5.598e-06 -1.051e-06 -1.663e-07  8.829e-08  9.013e-08
-4.744e-06  7.423e-06 -4.065e-06  6.009e-08  7.539e-08  1.129e-07
-5.026e-06  8.568e-06 -6.417e-06  2.103e-07  3.017e-08  1.353e-07
 8.043e-06  4.960e-06 -2.062e-06  2.834e-07 -3.768e-08  1.555e-07
 8.319e-06 -2.401e-07  7.480e-06  2.883e-07 -1.147e-07  1.745e-07
 1.893e-06  8.212e-06  9.076e-06  2.346e-07 -1.913e-07  2.007e-07
 2.378e-05  2.894e-05  9.643e-06  1.307e-07 -2.656e-07  2.432e-07
 4.180e-05  3.281e-05  3.962e-06 -1.035e-08 -3.368e-07  3.039e-07
 2.074e-05  2.729e-05  2.701e-06 -1.637e-07 -3.955e-07  3.748e-07
-2.283e-06  1.246e-05 -8.226e-07 -2.957e-07 -4.284e-07  4.416e-07
-4.227e-06 -1.410e-06  1.171e-06 -3.749e-07 -4.325e-07  4.907e-07
 1.863e-05 -3.912e-06 -1.390e-06 -3.853e-07 -4.128e-07  5.116e-07
 2.410e-05  1.870e-06 -1.011e-05 -3.311e-07 -3.711e-07  5.009e-07
 7.653e-06 -4.293e-06 -1.415e-05 -2.291e-07 -3.067e-07  4.644e-07
-1.757e-05  3.820e-06 -1.276e-05 -9.833e-08 -2.230e-07  4.094e-07
-3.294e-05  3.050e-06 -9.519e-06  4.475e-08 -1.309e-07  3.402e-07
-2.677e-05 -2.103e-05 -9.125e-06  1.841e-07 -3.891e-08  2.583e-07
-1.989e-05 -4.644e-05 -3.210e-07  3.006e-07  5.270e-08  1.663e-07
-1.719e-06 -4.859e-05  1.100e-05  3.748e-07  1.417e-07  7.112e-08
 1.622e-05 -2.540e-05  1.279e-05  3.951e-07  2.172e-07 -1.949e-08
 3.316e-05 -2.143e-05  1.332e-05  3.667e-07  2.704e-07 -1.018e-07
 3.886e-05 -1.142e-05  1.300e-05  3.128e-07  3.033e-07 -1.745e-07
 2.681e-05  1.715e-07  6.387e-06  2.612e-07  3.248e-07 -2.395e-07
 2.107e-05  3.877e-06 -1.220e-06  2.275e-07  3.395e-07 -3.011e-07
 1.589e-06  6.058e-07 -7.414e-06  2.121e-07  3.446e-07 -3.614e-07
-1.257e-05 -1.141e-06 -6.727e-06  2.087e-07  3.413e-07 -4.149e-07
-2.039e-05  4.276e-06 -4.411e-06  2.126e-07  3.370e-07 -4.515e-07
-2.147e-05  2.485e-05 -1.134e-06  2.203e-07  3.328e-07 -4.648e-07
-2.046e-05  3.075e-05 -3.853e-06  2.246e-07  3.220e-07 -4.591e-07
-8.458e-06  2.668e-05 -3.255e-06  2.134e-07  2.995e-07 -4.439e-07
-8.426e-06  1.214e-05  4.676e-06  1.736e-07  2.664e-07 -4.226e-07
-7.691e-06  5.587e-06  1.559e-05  9.848e-08  2.274e-07 -3.940e-07
 1.137e-05  3.016e-07  2.143e-05 -5.854e-09  1.823e-07 -3.570e-07
 3.298e-05  7.297e-06  1.158e-05 -1.191e-07  1.286e-07 -3.113e-07
 1.685e-05  9.319e-06 -4.692e-06 -2.143e-07  7.144e-08 -2.566e-07
-1.205e-05  3.326e-06 -1.417e-05 -2.723e-07  1.827e-08 -1.912e-07
-1.969e-05 -1.761e-06 -1.093e-05 -2.904e-07 -2.930e-08 -1.180e-07

#filename
SWHSA.data
#dt   npts  dist   Az   Zcor VR
1.000  120  53.0  19.0    8  3.407e+01
#data T          R          Z    synth T          R          Z
 3.886e-05 -2.266e-05 -3.353e-06  3.157e-07  2.074e-07 -4.564e-07
 2.151e-05 -2.636e-06 -4.595e-06 -8.853e-07  5.694e-07 -3.043e-07
-6.247e-07  1.455e-05 -3.646e-06 -1.445e-06  5.833e-07  2.211e-07
-4.749e-06  1.463e-05 -4.641e-06 -2.787e-07 -1.765e-07  6.836e-07
 8.741e-06  4.969e-07 -7.116e-06  1.229e-06 -1.043e-06  8.221e-07
 2.273e-05 -1.339e-05 -7.883e-06  1.387e-06 -1.286e-06  6.476e-07
 1.943e-05 -1.345e-05 -5.126e-06  3.419e-07 -9.443e-07  3.449e-07
-2.528e-06 -1.730e-05 -1.439e-05 -1.198e-06 -4.816e-07 -1.627e-07
-2.926e-05 -4.622e-05 -1.336e-05 -2.221e-06 -1.828e-06 -1.902e-06
-3.851e-05 -9.125e-05 -1.410e-05  5.328e-07 -6.774e-06 -4.454e-06
-2.555e-05 -1.144e-04 -1.196e-06  1.081e-05 -1.227e-05 -4.614e-06
-1.324e-07 -6.061e-05  4.754e-05  2.924e-05 -1.142e-05 -6.777e-07
 2.992e-05  7.171e-05  9.727e-05  5.050e-05 -2.274e-06  3.980e-06
 5.267e-05  2.124e-04  1.094e-04  6.558e-05  7.679e-06  3.253e-06
 5.320e-05  2.517e-04  7.243e-05  4.798e-05  1.089e-05 -1.909e-06
-2.211e-05  1.402e-04  6.289e-06 -4.846e-05  1.108e-05 -1.206e-07
-1.384e-04 -1.023e-05 -3.114e-05 -2.082e-04  1.724e-05  1.333e-05
-2.190e-04 -1.019e-04 -3.067e-05 -3.554e-04  2.511e-05  3.201e-05
-3.017e-04 -3.088e-05 -5.783e-05 -4.198e-04  1.952e-05  4.847e-05
-1.514e-04  1.086e-05 -1.280e-04 -3.026e-04 -6.554e-06  4.665e-05
 7.923e-05 -4.840e-05 -2.054e-04  3.642e-05 -4.085e-05  9.834e-06
 3.738e-04 -1.529e-04 -1.899e-04  4.479e-04 -5.363e-05 -5.301e-05
 5.788e-04 -1.568e-04 -9.199e-05  6.893e-04 -2.731e-05 -1.022e-04
 5.144e-04  3.976e-06  1.014e-05  6.348e-04  1.756e-05 -1.014e-04
 2.177e-04  1.107e-04  5.978e-05  3.738e-04  4.572e-05 -5.912e-05
-2.620e-04  1.184e-04  1.315e-04  8.069e-05  4.700e-05 -8.080e-06
-5.015e-04  7.047e-05  2.296e-04 -1.618e-04  3.301e-05  3.484e-05
-4.700e-04  5.328e-05  2.430e-04 -3.402e-04  1.178e-05  6.387e-05
-1.379e-04 -2.478e-05  1.183e-04 -4.203e-04 -1.037e-05  7.282e-05
 6.627e-05 -1.467e-04  2.509e-05 -3.830e-04 -2.533e-05  6.283e-05
 9.499e-05 -1.481e-04  2.579e-05 -2.673e-04 -3.140e-05  4.143e-05
-8.806e-05 -4.586e-05 -3.253e-05 -1.275e-04 -2.988e-05  1.527e-05
-1.909e-04  6.992e-06 -1.529e-04  1.057e-07 -2.195e-05 -8.413e-06
-5.555e-05  3.134e-05 -1.363e-04  9.144e-05 -1.085e-05 -2.439e-05
 2.105e-04  6.805e-05 -7.115e-05  1.353e-04  1.342e-07 -3.139e-05
 2.912e-04 -1.846e-05 -8.431e-05  1.366e-04  8.632e-06 -2.998e-05
 8.352e-05  1.267e-05 -5.743e-05  1.104e-04  1.317e-05 -2.296e-05
-1.076e-04  1.832e-04  1.448e-05  7.348e-05  1.388e-05 -1.379e-05
-1.163e-04  9.896e-05  2.326e-05  3.915e-05  1.172e-05 -5.234e-06
 6.210e-05 -4.272e-05  9.618e-06  1.562e-05  8.094e-06  8.046e-07
 2.033e-04 -2.207e-05  6.213e-06  4.791e-06  4.366e-06  3.853e-06
