#depth variance  VR       nsta
 25  1.061e-09  2.126e+00   4
#mxx        mxy        mxz        myy        myz        mzz
 3.136e+22  3.435e+22  2.424e+22  2.111e+23 -6.499e+22  2.034e+23
#st1 rk1 dp1 st2 rk2 dp2
 43  42  71 297 155  51
#pdc pclvd piso
 41   5  54

#filename
TD002.data
#dt   npts  dist   Az   Zcor VR
1.000  180 206.0 123.0   68  1.406e+00
#data T          R          Z    synth T          R          Z
 3.873e-06  4.832e-06 -2.945e-05 -1.137e-05 -2.952e-06  3.852e-06
-1.901e-06  7.626e-06 -2.246e-05 -1.235e-05 -2.695e-06  3.875e-06
-1.388e-05  2.051e-06 -1.908e-05 -1.107e-05 -2.222e-06  3.688e-06
-2.386e-05 -6.100e-06 -1.957e-05 -7.937e-06 -1.694e-06  3.425e-06
-2.474e-05 -9.524e-06 -2.197e-05 -3.768e-06 -1.254e-06  3.136e-06
-1.737e-05 -7.341e-06 -2.324e-05  4.104e-07 -8.622e-07  2.748e-06
-9.544e-06 -4.386e-06 -2.062e-05  3.586e-06 -3.710e-07  2.161e-06
-8.353e-06 -4.023e-06 -1.333e-05  5.018e-06  3.030e-07  1.388e-06
-1.397e-05 -4.516e-06 -3.715e-06  4.412e-06  1.096e-06  5.727e-07
-1.952e-05 -2.349e-06  4.632e-06  1.964e-06  1.830e-06 -1.669e-07
-1.736e-05  2.953e-06  9.543e-06 -1.701e-06  2.386e-06 -8.854e-07
-6.900e-06  8.629e-06  1.094e-05 -5.663e-06  2.861e-06 -1.715e-06
 3.941e-06  1.156e-05  1.050e-05 -8.894e-06  3.465e-06 -2.635e-06
 6.626e-06  9.796e-06  1.084e-05 -1.051e-05  4.252e-06 -3.450e-06
 1.453e-06  2.790e-06  1.327e-05 -9.985e-06  5.016e-06 -3.974e-06
-2.581e-06 -5.807e-06  1.681e-05 -7.330e-06  5.481e-06 -4.156e-06
 1.933e-06 -8.081e-06  2.043e-05 -3.080e-06  5.551e-06 -4.090e-06
 1.239e-05 -3.831e-07  2.499e-05  1.828e-06  5.380e-06 -3.915e-06
 1.989e-05  1.064e-05  3.168e-05  6.302e-06  5.162e-06 -3.673e-06
 1.934e-05  1.474e-05  3.865e-05  9.382e-06  4.907e-06 -3.296e-06
 1.365e-05  8.221e-06  4.148e-05  1.047e-05  4.441e-06 -2.705e-06
 9.115e-06 -3.702e-06  3.732e-05  9.469e-06  3.619e-06 -1.924e-06
 8.846e-06 -1.200e-05  2.799e-05  6.760e-06  2.517e-06 -1.085e-06
 1.063e-05 -1.110e-05  1.893e-05  3.135e-06  1.381e-06 -2.854e-07
 1.052e-05 -2.340e-06  1.484e-05 -4.018e-07  3.730e-07  5.196e-07
 7.849e-06  9.290e-06  1.634e-05 -2.886e-06 -5.554e-07  1.407e-06
 5.204e-06  2.043e-05  2.114e-05 -3.663e-06 -1.555e-06  2.351e-06
 3.619e-06  2.925e-05  2.674e-05 -2.601e-06 -2.689e-06  3.225e-06
 2.791e-08  3.380e-05  3.124e-05 -1.424e-07 -3.832e-06  3.900e-06
-9.200e-06  3.324e-05  3.224e-05  2.841e-06 -4.745e-06  4.369e-06
-2.181e-05  2.477e-05  2.794e-05  5.318e-06 -5.294e-06  4.745e-06
